player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
GD McGrath,gd mcgrath,ee7d0c82,cricketdata::player_meta,6565,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
GD Phillips,gd phillips,9a46c4e5,cricketdata::player_meta,823509,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Wicketkeeper Batter,right,Right arm Offbreak,spin,keeper_batter,true,true,true,false,false,cricsheet_id
GF Labrooy,gf labrooy,8e088dbc,cricketdata::player_meta,49552,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
GF Linde,gf linde,e5437608,cricketdata::player_meta,481875,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,left,Slow Left arm Orthodox,spin,all_rounder,false,true,true,false,false,cricsheet_id
GH Vihari,gh vihari,94253925,cricketdata::player_meta,452044,Right hand Bat,Right arm Offbreak,Batting Allrounder,Batting Allrounder,right,Right arm Offbreak,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
GHS Garton,ghs garton,be869ccf,cricketdata::player_meta,643433,Left hand Bat,Left arm Fast,Bowling Allrounder,Bowling Allrounder,left,Left arm Fast,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
GJ Bailey,gj bailey,5056011d,cricketdata::player_meta,4451,Right hand Bat,Right arm Medium,Top order Batter,Top order Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
GJ Maxwell,gj maxwell,b681e71e,cricketdata::player_meta,325026,Right hand Bat,Right arm Offbreak,Batting Allrounder,Batting Allrounder,right,Right arm Offbreak,spin,batting_all_rounder,false,true,true,false,false,cricsheet_id
GR Napier,gr napier,611926bc,cricketdata::player_meta,17991,Right hand Bat,Right arm Medium,Bowling Allrounder,Bowling Allrounder,right,Right arm Medium,pace,bowling_all_rounder,false,true,false,true,false,cricsheet_id
GR Sadashiv Iyer,gr sadashiv iyer,0be62e31,cricketdata::player_meta,29549,Right hand Bat,,,,right,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
GR Viswanath,gr viswanath,9333bc07,cricketdata::player_meta,35712,Right hand Bat,Legbreak,Top order Batter,Top order Batter,right,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
GS Sandhu,gs sandhu,1558d83b,cricketdata::player_meta,499660,Left hand Bat,Right arm Fast medium,Bowler,Bowler,left,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
Gulbadin Naib,gulbadin naib,9f77963a,cricketdata::player_meta,352048,Right hand Bat,Right arm Medium fast,Batting Allrounder,Batting Allrounder,right,Right arm Medium fast,pace,batting_all_rounder,false,true,false,true,false,cricsheet_id
Gurkeerat Singh,gurkeerat singh,6eb146d2,cricketdata::player_meta,537124,Right hand Bat,Right arm Offbreak,Middle order Batter,Middle order Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
Gurnoor Brar,gurnoor brar,99258814,cricketdata::player_meta,1287033,Left hand Bat,Right arm Fast,Bowler,Bowler,left,Right arm Fast,pace,bowler,false,true,false,true,false,cricsheet_id
H Das,h das,0ed0cdbf,cricketdata::player_meta,236810,Right hand Bat,,,,right,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
H Klaasen,h klaasen,235c2bb6,cricketdata::player_meta,436757,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Wicketkeeper Batter,right,Right arm Offbreak,spin,keeper_batter,true,true,true,false,false,cricsheet_id
H Sharma,h sharma,52294a79,cricketdata::player_meta,1350761,Right hand Bat,Legbreak,Bowler,Bowler,right,Legbreak,spin,bowler,false,true,true,false,false,cricsheet_id
Harbhajan Singh,harbhajan singh,8b5b6769,cricketdata::player_meta,29264,Right hand Bat,Right arm Offbreak,Bowler,Bowler,right,Right arm Offbreak,spin,bowler,false,true,true,false,false,cricsheet_id
Harmeet Singh,harmeet singh,2a72fd4f,cricketdata::player_meta,391128,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
Harmeet Singh (2),harmeet singh 2,0bf15e52,cricketdata::player_meta,422847,Left hand Bat,Slow Left arm Orthodox,,,left,Slow Left arm Orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
Harpreet Brar,harpreet brar,c05edf8e,cricketdata::player_meta,1168641,Left hand Bat,Slow Left arm Orthodox,Bowler,Bowler,left,Slow Left arm Orthodox,spin,bowler,false,true,true,false,false,cricsheet_id
Harpreet Singh,harpreet singh,28c78fb3,cricketdata::player_meta,340854,Left hand Bat,Right arm Medium,Batter,Batter,left,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
Harsh Dubey,harsh dubey,25228673,cricketdata::player_meta,1216159,Left hand Bat,Slow Left arm Orthodox,,,left,Slow Left arm Orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
Harshit Rana,harshit rana,77b1aa15,cricketdata::player_meta,1312645,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
HAS Khalid,has khalid,291ded7c,cricketdata::player_meta,30196,Right hand Bat,Slow Left arm Orthodox,,,right,Slow Left arm Orthodox,spin,unknown,false,true,true,false,false,cricsheet_id
